feature_name,rank
MACROD1,4.311843471084328
RP11-514O12.4,4.298327229586843
RHBDF2,4.2887938065476705
SLC25A48,4.2835061877829705
TAL1,4.283011301627744
KLF15,4.274060876735287
SEMA3F,4.266500167021899
SESN2,4.246354272547299
FBLN1,4.240856468514077
NFIL3,4.231329115650529
AKR1C2,4.230808570539158
CASP7,4.226013290554949
NUP210L,4.22394601897944
DOCK6,4.21570114484088
STIP1,4.209109438407425
ZGLP1,4.208588768844754
HDAC10,4.2046465637492085
CCDC117,4.187921730608358
METTL7B,4.182470264511477
PARVG,4.180391274724107
MEF2B,4.167672868187908
ZNF768,4.166422108762402
C10orf111,4.164829281130824
HIC1,4.1478867134776
SIRT7,4.14702790400671
RFNG,4.127806225616454
TNIP2,4.118747022997412
METRNL,4.117337975343753
MT2A,4.116645530787383
WISP1,4.116484249257511
KLHL17,4.102731264402896
NFKBIA,4.099352403150008
TCF15,4.097352831232542
POLR2H,4.095438620857692
ZDHHC18,4.0948842019675
B4GALNT4,4.092494375314965
CSF1,4.090724130707697
BNIPL,4.083553858394119
SLC17A9,4.078688677670811
C10orf114,4.052210897006794
TMEM81,4.044485377223683
KLK1,4.029472776376622
ANKRD37,4.02679351605828
CLEC18B,4.024810106104444
CERS1,4.019218082380773
SLC12A7,4.016752256220027
C17orf67,4.00923670899207
IL1R2,4.0057207951597045
ANPEP,4.001198641628922
C9orf152,3.993152674901197
ATG4B,3.9926670519460465
MICB,3.9915492288409666
FAM109A,3.9764954025415777
CSAG1,3.9579190609414634
WBP1L,3.910798019200418
GPR35,3.907168121999408
INPPL1,3.8993953063536386
DEDD2,3.883166362114619
RAB3IL1,3.8647348416810643
LAMB2,3.863218345376231
IRF7,3.8419459775940985
MT1M,3.836892627728503
TPST2,3.836332411191411
CHORDC1,3.8076697264007335
TOR4A,3.8054766354209373
DNASE1L2,3.790004064957645
FBXO2,3.77568110808796
IHH,3.7717369822659923
OR7A5,3.764005675689821
SPINK8,3.7611339303599105
CARD14,3.7411277204584774
RSAD1,3.728594834615841
FKBP4,3.726788653385098
PUS3,3.722875811566817
ITPR3,3.7128152369699787
CKS2,3.6811103639093514
UBTD1,3.67360764475356
IFNA2,3.6708915971258502
PTBP1,3.667636691889653
IL2RG,3.661215536230958
RCN3,3.6576119450252076
PRX,3.653772797531437
AHSA1,3.6480537278729317
SYTL4,3.642327576633127
MRAS,3.638689806164887
MPZ,3.632505904105755
SLC43A3,3.6324225903659673
HSPA1L,3.63062649194402
RP11-192H23.4,3.629826287456803
SIGLEC8,3.62815568378522
PLEKHG4B,3.628092134582049
ARID5A,3.6206526308569065
PTOV1,3.619820048699336
LAT,3.614566462764908
DPAGT1,3.6097739967228675
WDR6,3.609331689126757
STXBP2,3.6025747285406746
ANGPT2,3.596965994352994
SLC6A13,3.595947954514479
HK3,3.5956627416926903
C15orf39,3.5932729779938986
AC135048.1,3.5868232262872928
LCNL1,3.584438184931179
CD4,3.584421551851263
FITM1,3.583591353137134
UPK1A,3.5815239866027033
SLPI,3.573822625058283
TCIRG1,3.570316698532614
CTA-299D3.8,3.558986313879313
CCL17,3.5570641130249463
PCOLCE,3.5516225454646455
DDIT4L,3.5495252679083786
ANKLE1,3.548170620434766
NPFF,3.5460088074173672
ARL6IP4,3.543349535293939
CLU,3.533038864862093
GAS2L3,3.528070833247483
PTH1R,3.5262818719394824
OR2H2,3.4892903027215434
EYA2,3.482175111782225
SLC26A6,3.481233824793795
STK38,3.480089594477084
CCND3,3.453074641219849
PRKD2,3.4396403337761483
