feature_name,rank
FFAR2,0.452918110674734
TYROBP,0.452427882638798
OSR1,0.452150993880011
TLR9,0.452088241078347
CERS1,0.451954962133555
FOXC1,0.451713188785212
SLAMF6,0.451583244897111
RNASE6,0.450726908156601
FGD2,0.450536118496142
TGFB1,0.450412122656315
CSF3,0.45001517640184
HMHA1,0.449840679249777
RNASE2,0.449724479147462
DCAF4L1,0.449618295115115
EZR,0.449012734679542
HSD3B7,0.448932653646025
AIRE,0.448706169487943
RETN,0.447908124270955
SLC2A5,0.44778493000115
GALM,0.447690461275588
MACROD1,0.447484601188979
FAM27E3,0.447423141077949
SPI1,0.447257239237713
AC105052.1,0.447222292093702
LTBR,0.446975763867253
RCN3,0.446691996896583
PRICKLE3,0.446672612106603
KRT15,0.446354605625464
MGAM,0.446204285039259
MUC3A,0.445473085509499
MC4R,0.445437678027907
LY96,0.445288914882432
CPAMD8,0.445121925240012
LYG1,0.445105373553671
EFNA4,0.445073845113817
SH2D7,0.445056860382892
DPEP3,0.444656043302732
CXCL9,0.444630202997344
IKZF1,0.444584053918455
TM4SF1,0.444538962309472
INPPL1,0.444367063299036
FES,0.444018835519014
CATSPER4,0.443946758513841
RAB20,0.443504161695153
PIF1,0.443450617965759
SIRT7,0.443150493983807
FLT4,0.442966958725766
AOC2,0.442440312677652
OSGIN1,0.442370206461197
HSPB2,0.442028479671949
LRRC25,0.441494616357068
HSD17B7,0.441345106232072
PRKD2,0.441221778280801
DNMT3L,0.440901139178514
RPRM,0.440459345063789
PHYHD1,0.440412954670921
CCR2,0.440330047661425
TBX3,0.440244297874103
PAGE2B,0.43979503559787
ADRA2B,0.439664233114332
CDKN1A,0.439619174896626
TBX19,0.439009182384008
FAM195A,0.43782153685716
HSPH1,0.437388420467204
IL6,0.43718610694457
BPI,0.437140879218179
ITPR3,0.437011290627291
FCER1A,0.436613218931276
MUC1,0.436427262377053
AANAT,0.436232542353207
SLC39A12,0.435973426758879
FMR1NB,0.435166404925813
PGF,0.434880210878113
HPR,0.434824551695237
PDGFRL,0.434508705772191
ABCB6,0.434037499217432
FER1L6,0.433651335827348
ZNF358,0.433539832999299
C21orf90,0.433155435494755
SLA,0.433019403445009
FAM46C,0.432949957382817
LPIN3,0.432634197943754
TPSD1,0.432476299049286
PODN,0.43234982580958
LRP4,0.432335140278161
PTGDR,0.431995487533901
CHAC1,0.43187496910319
CFB,0.43171978306865
FCGRT,0.431690050575273
HK2,0.431623174437834
TRIM47,0.430513977322394
TPST2,0.430324524650868
IZUMO1,0.430310603110648
CLDN23,0.43024643147452
C10orf105,0.430139786112673
CCNA2,0.430087061062668
CLU,0.430027683274709
GIPC3,0.429876333172981
IRF1,0.429494473282895
FAM129B,0.429198195034218
CHEK2,0.42914746724956
LCN2,0.428397209686285
FAM83D,0.428337430521122
SASH3,0.428246735696758
KLRD1,0.42823799879637
PBXIP1,0.428221476959762
GPR146,0.427961803366053
GADD45B,0.427841826377954
NPW,0.427602284910589
LGALS9,0.427158030830674
UGT2B17,0.427029509086419
B4GALNT4,0.426987081547926
SYDE1,0.426891419040993
EIF4EBP1,0.426788586856098
ADAMTSL5,0.426594189177316
AC002398.9,0.426546548830983
F2RL3,0.426377331886406
ITGA5,0.426365408389884
SCGB1D2,0.425590731022882
FBXO2,0.425445972608224
MT1H,0.425075512621589
DHRS3,0.424761602711526
PPP1R27,0.424601962502196
RP11-644F5.10,0.424280754803187
AURKC,0.424099205689723
LILRB3,0.423438612012843
CLDN5,0.423421066123352
PROC,0.4233751006394
PPP1R13L,0.423056937848742
FOXN4,0.423010980107063
HVCN1,0.422978160375617
TRIM5,0.422504787701336
GLI2,0.422077389741982
GFAP,0.422044149128601
NDUFA4L2,0.421562977218872
SLC7A5,0.421399782724846
CCDC117,0.421346950615335
TMEM81,0.421327087316186
IL1RN,0.421216283204384
GCNT3,0.420996685260856
FMOD,0.420897369537284
CTRL,0.420667240579835
LINC00528,0.420089505659206
NXN,0.419989578087664
HLX,0.41989556908546
ABI3,0.419851619012899
SCXA,0.41979491631142
RAMP1,0.41956044958924
ELF4,0.419549581623937
AHSA1,0.419378679172975
C15orf39,0.419308765451554
CR1L,0.419163445564105
MEFV,0.419087806682484
FCGR1A,0.418767002039868
MMP19,0.418652107103596
SYK,0.418436893956095
KLF2,0.418412366502139
CD300A,0.417891177138638
MAP3K6,0.417808264797412
LY6G6C,0.417605969183836
CIITA,0.417556250845472
SIRT4,0.417328536176057
F10,0.415906098368389
CD163,0.41573782467929
VSIG2,0.415707736903125
S100A9,0.415587687755377
H2AFB1,0.415125603430169
AGER,0.414960501466132
FOXE3,0.414899670028898
RAB24,0.414558356621506
SMLR1,0.414547678026931
NFAM1,0.414538345180279
CD86,0.414522775801245
FOSL1,0.414200365604551
NAALADL1,0.414111711873914
CD52,0.413994442704067
CLEC1A,0.413735985715428
RP11-59H1.3,0.413634019697845
RP11-93B14.6,0.413463449797615
PLAC8,0.413240749451445
MTSS1L,0.413136724724283
TTC38,0.412876397104553
FAM83A,0.412469628442954
ACOT6,0.412179384069357
EMR1,0.412083658544827
VASP,0.412079889102801
PRB2,0.410844391785461
IFITM1,0.410739874398992
PDLIM1,0.410627749545987
B3GNT6,0.409774461991549
RUNX1,0.408991188975303
CHRNA10,0.408982079239869
ICAM1,0.408981574681156
CSF3R,0.408923557104628
BGLAP,0.408517764461175
CILP2,0.408509388221135
FAM189A2,0.40840026922182
MID1IP1,0.408289934827952
RFX2,0.407964222868159
FCGBP,0.407865035108361
HLA-DRA,0.407862212626985
PXN,0.407779306654365
FCER1G,0.40763190209006
ELK1,0.407359992290544
PRODH,0.407352106810272
MPZ,0.406798503364181
TSKU,0.406774071686019
FOLR2,0.406632355920565
OR13J1,0.406294985355886
PPM1N,0.406221305170833
C1orf64,0.406100021446961
IGFBP1,0.406018056063219
ITGB4,0.40599760473684
INPP5D,0.405784425640904
FLJ20373,0.405451328957503
TGFBR3,0.405429872282561
FAIM3,0.405291252033409
GJC1,0.405225128086013
CXCL3,0.405199613926798
PABPN1L,0.404791123820921
PNRC1,0.404462089714254
CYP2S1,0.404325233348732
ABCA7,0.403425532825475
TULP1,0.403386176122569
